event,type,time,stamp,data0,data1,data2
1,com.google.wear.sensor.ppg,2022-11-06T00:49:35.166,3464398064668,1036038.0,649624.0,0.0
2,com.google.wear.sensor.ppg,2022-11-06T00:49:35.168,3464657763175,9700925.0,1.4808472E7,0.0
3,com.google.wear.sensor.ppg,2022-11-06T00:49:35.170,3464917461682,9674120.0,2.920949E7,0.0
4,com.google.wear.sensor.ppg,2022-11-06T00:49:35.172,3465177160189,9655680.0,2.9409004E7,0.0
5,com.google.wear.sensor.ppg,2022-11-06T00:49:35.174,3465436858696,9647855.0,2.9739652E7,0.0
6,com.google.wear.sensor.ppg,2022-11-06T00:49:35.175,3465696557203,9643858.0,2.974236E7,0.0
7,com.google.wear.sensor.ppg,2022-11-06T00:49:35.177,3465956255710,9646357.0,2.9744984E7,0.0
8,com.google.wear.sensor.ppg,2022-11-06T00:49:35.178,3466215954217,9641238.0,2.9756924E7,0.0
9,com.google.wear.sensor.ppg,2022-11-06T00:49:35.180,3466475652724,9640823.0,2.9756868E7,0.0
10,com.google.wear.sensor.ppg,2022-11-06T00:49:35.182,3466735351231,9638937.0,2.9751388E7,0.0
11,com.google.wear.sensor.ppg,2022-11-06T00:49:35.185,3466995049738,9638212.0,2.9750488E7,0.0
12,com.google.wear.sensor.ppg,2022-11-06T00:49:35.190,3467254748245,9641446.0,2.974542E7,0.0
13,com.google.wear.sensor.ppg,2022-11-06T00:49:35.192,3467514446752,9640794.0,2.9746936E7,0.0
14,com.google.wear.sensor.ppg,2022-11-06T00:49:35.194,3467774145259,9638787.0,2.974146E7,0.0
15,com.google.wear.sensor.ppg,2022-11-06T00:49:35.195,3468033843766,9639607.0,2.9757186E7,0.0
16,com.google.wear.sensor.ppg,2022-11-06T00:49:35.197,3468293542273,9641813.0,2.9738224E7,0.0
17,com.google.wear.sensor.ppg,2022-11-06T00:49:35.198,3468553240780,9642209.0,2.9754128E7,0.0
18,com.google.wear.sensor.ppg,2022-11-06T00:49:35.199,3468812939287,9638881.0,2.974574E7,0.0
19,com.google.wear.sensor.ppg,2022-11-06T00:49:35.201,3469072637794,9639315.0,2.9758904E7,0.0
20,com.google.wear.sensor.ppg,2022-11-06T00:49:35.202,3469332336301,9641945.0,2.9747896E7,0.0
21,com.google.wear.sensor.ppg,2022-11-06T00:49:35.203,3469592034808,9640248.0,2.9751536E7,0.0
22,com.google.wear.sensor.ppg,2022-11-06T00:49:35.374,3469851733329,9634696.0,2.974204E7,0.0
23,com.google.wear.sensor.ppg,2022-11-06T00:49:35.376,3469861668740,9638033.0,2.9725058E7,0.0
24,com.google.wear.sensor.ppg,2022-11-06T00:49:35.379,3469871604151,9642549.0,2.9747168E7,0.0
25,com.google.wear.sensor.ppg,2022-11-06T00:49:35.380,3469881539562,9640172.0,2.9747692E7,0.0
